Instance,Method,Parameter,Edges in EdgesOS,EdgesOS in Edges,Edges
ulysses16,Nearest-Neighbor,4,31.25,13.51,"{(14, 4), (14, 1), (4, 9), (3, 1), (12, 13), (8, 3), (9, 8), (13, 5), (13, 11), (13, 8), (13, 14), (7, 1), (6, 5), (7, 10), (6, 8), (4, 2), (5, 9), (8, 2), (10, 2), (1, 2), (15, 1), (7, 3), (12, 2), (7, 15), (12, 11), (3, 2), (4, 1), (14, 8), (5, 8), (5, 14), (10, 4), (11, 9), (11, 6), (13, 9), (15, 3), (15, 9), (15, 12)}"
ulysses16,oneTree-Modified,4,31.25,13.16,"{(6, 12), (3, 7), (12, 13), (5, 13), (0, 2), (8, 9), (0, 14), (1, 3), (0, 11), (13, 14), (6, 11), (6, 8), (4, 5), (5, 6), (12, 15), (4, 14), (5, 12), (8, 11), (0, 1), (0, 7), (1, 2), (2, 7), (11, 13), (6, 13), (7, 12), (7, 15), (12, 14), (4, 10), (5, 11), (5, 8), (0, 3), (8, 10), (9, 15), (11, 12), (0, 12), (0, 15), (2, 15), (6, 9)}"
ulysses16,Delanay-OneTree,1,18.75,18.75,"{(0, 7), (13, 14), (1, 2), (6, 11), (6, 9), (3, 7), (8, 10), (12, 13), (11, 12), (8, 9), (0, 15), (5, 6), (7, 12), (4, 14), (7, 15), (1, 3)}"
ulysses16,Nearest-Neighbor,5,31.25,11.11,"{(14, 4), (14, 1), (4, 9), (3, 1), (12, 13), (9, 2), (8, 3), (9, 8), (11, 5), (13, 5), (13, 11), (13, 8), (13, 14), (7, 1), (15, 8), (6, 5), (7, 10), (6, 8), (4, 2), (4, 8), (5, 9), (8, 2), (9, 1), (10, 2), (1, 2), (15, 1), (7, 3), (12, 2), (7, 15), (12, 11), (3, 2), (4, 1), (12, 14), (5, 2), (14, 8), (5, 8), (5, 14), (10, 4), (11, 9), (11, 6), (13, 9), (13, 6), (15, 3), (15, 9), (15, 12)}"
ulysses16,oneTree-Modified,5,31.25,12.2,"{(6, 12), (3, 7), (12, 13), (5, 13), (0, 2), (8, 9), (0, 14), (1, 3), (0, 11), (13, 14), (6, 11), (6, 8), (4, 5), (5, 6), (12, 15), (4, 14), (5, 12), (8, 11), (0, 1), (0, 7), (1, 2), (2, 7), (11, 13), (6, 13), (7, 12), (7, 15), (12, 14), (4, 10), (5, 11), (5, 8), (0, 3), (8, 10), (9, 15), (11, 12), (0, 12), (2, 3), (1, 7), (0, 15), (11, 15), (2, 15), (6, 9)}"
ulysses16,Delanay-OneTree,1,18.75,18.75,"{(0, 7), (13, 14), (1, 2), (6, 11), (6, 9), (3, 7), (8, 10), (12, 13), (11, 12), (8, 9), (0, 15), (5, 6), (7, 12), (4, 14), (7, 15), (1, 3)}"
st70,Delaunay-Tessellation,3,47.14,16.75,"{(6, 18), (16, 20), (47, 53), (55, 66), (44, 45), (4, 9), (26, 39), (11, 51), (38, 44), (40, 41), (46, 57), (48, 54), (22, 35), (21, 37), (43, 67), (3, 31), (39, 60), (21, 46), (36, 46), (55, 59), (4, 57), (8, 39), (34, 58), (19, 48), (36, 64), (24, 44), (2, 41), (16, 40), (3, 6), (28, 69), (10, 63), (22, 28), (39, 44), (29, 43), (40, 43), (22, 37), (11, 16), (22, 46), (13, 19), (25, 27), (42, 43), (36, 57), (34, 69), (10, 47), (9, 49), (47, 66), (2, 43), (16, 42), (25, 54), (3, 17), (20, 33), (46, 52), (30, 68), (32, 53), (29, 45), (15, 46), (49, 57), (23, 56), (4, 52), (36, 50), (53, 66), (2, 27), (56, 62), (18, 23), (37, 58), (9, 51), (3, 65), (51, 59), (12, 22), (32, 55), (49, 50), (1, 3), (35, 69), (19, 27), (50, 51), (11, 32), (19, 45), (47, 61), (19, 54), (51, 52), (11, 59), (32, 66), (46, 65), (38, 61), (8, 20), (2, 13), (19, 29), (53, 61), (1, 23), (17, 41), (2, 31), (47, 63), (36, 63), (3, 5), (6, 31), (5, 11), (40, 42), (14, 23), (32, 59), (37, 46), (5, 41), (34, 68), (58, 62), (15, 36), (26, 45), (12, 28), (32, 61), (33, 60), (44, 60), (12, 37), (15, 63), (1, 18), (11, 20), (8, 33), (36, 49), (8, 42), (5, 52), (26, 29), (60, 61), (18, 25), (7, 25), (14, 18), (12, 30), (8, 26), (0, 22), (34, 54), (29, 67), (11, 40), (15, 22), (12, 69), (37, 68), (7, 27), (13, 43), (42, 67), (24, 61), (18, 54), (0, 15), (17, 31), (34, 56), (3, 56), (30, 37), (11, 33), (56, 65), (21, 65), (4, 49), (13, 27), (41, 43), (50, 55), (58, 68), (24, 45), (50, 64), (10, 55), (8, 67), (10, 64), (35, 63), (39, 45), (0, 63), (1, 6), (31, 41), (14, 34), (68, 69), (62, 65), (63, 64), (5, 40), (56, 58), (21, 58), (3, 52), (0, 35), (4, 51), (32, 33), (13, 29), (24, 38), (7, 31), (8, 60), (30, 69), (10, 66), (2, 7), (28, 35), (6, 7), (14, 54), (5, 51), (27, 48), (55, 64), (6, 25), (50, 59), (52, 65), (25, 48), (33, 61), (1, 56), (5, 17), (8, 16), (49, 51), (38, 60), (26, 67), (4, 46), (21, 62), (14, 56)}"
st70,Delaunay-NearestNeighbor,3,15.71,31.43,"{(21, 65), (34, 56), (23, 1), (37, 58), (4, 9), (57, 36), (58, 62), (27, 7), (28, 12), (30, 12), (48, 54), (22, 35), (28, 69), (36, 15), (4, 52), (2, 7), (6, 1), (18, 0), (46, 22), (48, 25), (25, 27), (37, 68), (34, 69), (9, 49), (23, 14), (56, 14), (6, 31), (57, 49), (52, 65), (30, 68), (35, 0), (18, 54), (46, 15), (31, 2), (21, 62)}"
st70,Nearest-Neighbor,1,15.71,15.94,"{(68, 30), (16, 20), (63, 13), (34, 56), (23, 1), (50, 55), (51, 50), (24, 39), (15, 36), (53, 32), (12, 28), (32, 61), (26, 45), (38, 44), (30, 12), (35, 63), (1, 6), (69, 34), (27, 25), (48, 54), (33, 11), (58, 37), (39, 60), (67, 43), (65, 21), (5, 40), (59, 51), (29, 19), (54, 18), (64, 10), (45, 67), (28, 69), (11, 59), (66, 53), (41, 5), (9, 4), (42, 16), (4, 52), (2, 7), (22, 46), (62, 58), (8, 26), (49, 9), (18, 3), (61, 38), (17, 41), (35, 22), (43, 29), (36, 57), (55, 64), (37, 68), (10, 47), (56, 14), (47, 66), (7, 27), (60, 8), (6, 31), (57, 49), (52, 65), (25, 48), (3, 17), (14, 23), (40, 42), (20, 33), (19, 13), (44, 24), (46, 15), (31, 2), (21, 62)}"
st70,oneTree-Modified,1,32.86,32.86,"{(4, 9), (58, 62), (11, 51), (12, 28), (26, 45), (44, 60), (22, 35), (48, 54), (43, 67), (39, 60), (11, 20), (36, 46), (24, 44), (7, 25), (28, 69), (33, 53), (12, 30), (8, 26), (13, 19), (29, 67), (15, 22), (36, 57), (34, 69), (10, 47), (9, 49), (37, 68), (2, 43), (7, 27), (16, 42), (47, 66), (3, 17), (20, 33), (30, 68), (15, 46), (18, 54), (49, 57), (34, 56), (4, 52), (21, 65), (13, 27), (18, 23), (37, 58), (50, 55), (50, 64), (51, 59), (10, 55), (0, 63), (1, 6), (39, 45), (1, 3), (63, 64), (5, 40), (0, 35), (24, 38), (32, 66), (38, 61), (19, 29), (53, 61), (17, 41), (2, 31), (6, 31), (52, 65), (25, 48), (14, 23), (32, 59), (40, 42), (8, 16), (21, 62), (5, 41), (14, 56)}"
st70,Delanay-OneTree,1,37.14,37.14,"{(6, 18), (16, 20), (13, 27), (21, 65), (34, 68), (47, 53), (55, 66), (4, 9), (50, 55), (9, 51), (26, 39), (56, 62), (51, 59), (12, 28), (26, 45), (38, 44), (48, 54), (1, 6), (21, 37), (43, 67), (1, 3), (39, 60), (11, 20), (63, 64), (5, 40), (21, 58), (0, 35), (36, 46), (11, 32), (8, 39), (24, 44), (7, 25), (11, 59), (28, 69), (12, 30), (29, 43), (22, 37), (2, 7), (0, 22), (19, 29), (13, 19), (21, 62), (53, 61), (17, 41), (2, 31), (36, 57), (55, 64), (12, 69), (37, 68), (10, 47), (9, 49), (47, 66), (7, 27), (16, 42), (6, 31), (25, 48), (3, 17), (14, 23), (20, 33), (30, 68), (15, 46), (32, 53), (8, 16), (40, 42), (49, 57), (0, 15), (38, 60), (4, 52), (5, 41), (14, 56)}"
st70,Nearest-Neighbor,2,25.71,15.65,"{(6, 18), (16, 20), (55, 66), (11, 51), (53, 32), (38, 44), (48, 54), (21, 37), (39, 60), (67, 43), (6, 2), (52, 33), (41, 42), (45, 67), (39, 26), (17, 5), (28, 69), (66, 53), (22, 37), (22, 46), (59, 32), (49, 9), (18, 3), (61, 38), (35, 28), (36, 57), (10, 47), (56, 14), (47, 66), (65, 56), (25, 54), (3, 17), (57, 52), (20, 33), (44, 24), (4, 52), (2, 27), (63, 13), (46, 36), (51, 50), (49, 50), (1, 3), (61, 24), (58, 37), (8, 45), (11, 59), (41, 5), (26, 13), (53, 61), (17, 41), (6, 31), (57, 49), (14, 23), (40, 42), (50, 10), (19, 13), (46, 15), (23, 1), (24, 39), (15, 36), (12, 28), (32, 61), (26, 45), (69, 34), (1, 18), (65, 21), (29, 19), (54, 18), (7, 25), (62, 34), (8, 26), (63, 14), (43, 29), (63, 23), (12, 69), (35, 34), (37, 68), (7, 27), (60, 8), (42, 67), (65, 62), (31, 48), (34, 56), (31, 2), (68, 30), (20, 11), (44, 39), (50, 55), (58, 68), (24, 45), (35, 63), (30, 12), (1, 6), (27, 25), (31, 41), (33, 11), (5, 40), (21, 58), (4, 51), (40, 16), (23, 64), (59, 51), (64, 10), (33, 59), (9, 4), (42, 16), (2, 7), (62, 58), (35, 22), (55, 64), (22, 15), (52, 65), (25, 48), (38, 60), (21, 62)}"
st70,oneTree-Modified,2,45.71,26.02,"{(6, 18), (16, 20), (47, 53), (34, 68), (55, 66), (1, 31), (12, 68), (4, 9), (58, 62), (26, 39), (11, 51), (12, 28), (26, 45), (32, 61), (44, 60), (38, 44), (40, 41), (22, 35), (48, 54), (46, 57), (43, 67), (21, 37), (28, 30), (39, 60), (11, 20), (36, 49), (36, 46), (8, 42), (8, 39), (24, 44), (7, 25), (9, 59), (3, 6), (16, 40), (28, 69), (33, 53), (12, 30), (10, 63), (39, 44), (29, 43), (22, 37), (22, 46), (8, 26), (0, 22), (13, 19), (1, 17), (29, 67), (25, 27), (15, 22), (36, 57), (12, 69), (34, 69), (10, 47), (9, 49), (37, 68), (2, 43), (7, 27), (16, 42), (47, 66), (9, 52), (25, 54), (3, 17), (20, 33), (30, 68), (32, 53), (15, 46), (42, 67), (18, 54), (49, 57), (0, 15), (3, 41), (23, 56), (34, 56), (30, 37), (4, 52), (11, 33), (4, 49), (21, 65), (13, 27), (18, 23), (56, 62), (37, 58), (50, 55), (9, 51), (50, 64), (51, 59), (10, 55), (0, 63), (1, 6), (39, 45), (1, 3), (62, 65), (63, 64), (5, 40), (21, 58), (0, 35), (11, 32), (13, 29), (24, 38), (7, 31), (11, 59), (30, 69), (32, 66), (38, 61), (2, 7), (19, 29), (53, 61), (17, 41), (2, 31), (55, 64), (6, 31), (52, 65), (25, 48), (14, 23), (32, 59), (40, 42), (5, 17), (8, 16), (7, 48), (38, 60), (21, 62), (5, 41), (14, 56)}"
st70,Delanay-OneTree,1,37.14,37.14,"{(6, 18), (16, 20), (13, 27), (21, 65), (34, 68), (47, 53), (55, 66), (4, 9), (50, 55), (9, 51), (26, 39), (56, 62), (51, 59), (12, 28), (26, 45), (38, 44), (48, 54), (1, 6), (21, 37), (43, 67), (1, 3), (39, 60), (11, 20), (63, 64), (5, 40), (21, 58), (0, 35), (36, 46), (11, 32), (8, 39), (24, 44), (7, 25), (11, 59), (28, 69), (12, 30), (29, 43), (22, 37), (2, 7), (0, 22), (19, 29), (13, 19), (21, 62), (53, 61), (17, 41), (2, 31), (36, 57), (55, 64), (12, 69), (37, 68), (10, 47), (9, 49), (47, 66), (7, 27), (16, 42), (6, 31), (25, 48), (3, 17), (14, 23), (20, 33), (30, 68), (15, 46), (32, 53), (8, 16), (40, 42), (49, 57), (0, 15), (38, 60), (4, 52), (5, 41), (14, 56)}"
st70,Nearest-Neighbor,3,28.57,12.74,"{(6, 18), (16, 20), (55, 66), (44, 45), (11, 51), (53, 32), (38, 44), (48, 54), (21, 37), (39, 60), (67, 43), (6, 2), (52, 33), (66, 32), (41, 42), (52, 51), (45, 67), (39, 26), (25, 43), (17, 5), (28, 69), (66, 53), (40, 43), (22, 37), (57, 4), (22, 46), (59, 32), (49, 9), (18, 3), (1, 17), (61, 38), (35, 28), (36, 57), (16, 33), (10, 47), (56, 14), (47, 66), (56, 23), (65, 56), (25, 54), (3, 17), (46, 52), (57, 52), (20, 33), (38, 39), (44, 24), (4, 52), (21, 68), (62, 14), (2, 27), (63, 13), (46, 36), (51, 50), (37, 12), (65, 58), (49, 50), (63, 49), (58, 28), (24, 60), (1, 3), (61, 24), (58, 37), (11, 32), (8, 45), (29, 13), (34, 18), (11, 59), (41, 5), (61, 26), (26, 13), (2, 13), (53, 61), (17, 41), (6, 31), (57, 49), (14, 23), (40, 42), (50, 10), (19, 13), (46, 15), (23, 1), (24, 39), (15, 36), (12, 28), (32, 61), (26, 45), (44, 60), (27, 19), (69, 34), (1, 18), (65, 21), (31, 7), (29, 19), (54, 18), (31, 25), (7, 25), (55, 10), (62, 34), (8, 26), (36, 51), (14, 48), (40, 67), (63, 14), (43, 29), (38, 24), (63, 23), (12, 69), (35, 34), (37, 68), (7, 27), (60, 8), (42, 67), (65, 62), (31, 48), (3, 41), (34, 56), (31, 2), (68, 30), (20, 11), (44, 39), (50, 55), (58, 68), (50, 64), (24, 45), (8, 67), (35, 63), (30, 12), (1, 6), (27, 25), (31, 41), (33, 11), (46, 69), (63, 64), (5, 40), (39, 8), (21, 58), (4, 51), (40, 16), (23, 64), (59, 51), (64, 10), (33, 59), (9, 4), (42, 16), (2, 7), (48, 59), (62, 58), (5, 42), (35, 22), (59, 53), (55, 64), (22, 15), (52, 65), (25, 48), (38, 60), (35, 15), (21, 62)}"
st70,oneTree-Modified,3,45.71,25.4,"{(6, 18), (16, 20), (47, 53), (34, 68), (55, 66), (1, 31), (12, 68), (4, 9), (58, 62), (26, 39), (11, 51), (12, 28), (26, 45), (32, 61), (44, 60), (38, 44), (40, 41), (22, 35), (48, 54), (46, 57), (43, 67), (21, 37), (28, 30), (39, 60), (1, 18), (11, 20), (36, 49), (36, 46), (8, 42), (8, 39), (24, 44), (7, 25), (9, 59), (3, 6), (16, 40), (28, 69), (33, 53), (12, 30), (10, 63), (39, 44), (29, 43), (22, 37), (22, 46), (8, 26), (0, 22), (13, 19), (1, 17), (29, 67), (25, 27), (15, 22), (36, 57), (12, 69), (34, 69), (10, 47), (9, 49), (37, 68), (2, 43), (7, 27), (16, 42), (47, 66), (9, 52), (25, 54), (3, 17), (20, 33), (30, 68), (32, 53), (15, 46), (42, 67), (18, 54), (49, 57), (0, 15), (3, 41), (23, 56), (34, 56), (30, 37), (4, 52), (11, 33), (4, 49), (21, 65), (13, 27), (18, 23), (56, 62), (37, 58), (50, 55), (9, 51), (50, 64), (51, 59), (10, 55), (0, 63), (1, 6), (39, 45), (1, 3), (62, 65), (63, 64), (5, 40), (21, 58), (0, 35), (4, 51), (11, 32), (13, 29), (24, 38), (7, 31), (11, 59), (30, 69), (32, 66), (38, 61), (2, 7), (19, 29), (53, 61), (17, 41), (2, 31), (55, 64), (6, 31), (52, 65), (25, 48), (14, 23), (32, 59), (40, 42), (5, 17), (8, 16), (49, 51), (7, 48), (38, 60), (21, 62), (5, 41), (14, 56)}"
st70,Delanay-OneTree,1,37.14,37.14,"{(6, 18), (16, 20), (13, 27), (21, 65), (34, 68), (47, 53), (55, 66), (4, 9), (50, 55), (9, 51), (26, 39), (56, 62), (51, 59), (12, 28), (26, 45), (38, 44), (48, 54), (1, 6), (21, 37), (43, 67), (1, 3), (39, 60), (11, 20), (63, 64), (5, 40), (21, 58), (0, 35), (36, 46), (11, 32), (8, 39), (24, 44), (7, 25), (11, 59), (28, 69), (12, 30), (29, 43), (22, 37), (2, 7), (0, 22), (19, 29), (13, 19), (21, 62), (53, 61), (17, 41), (2, 31), (36, 57), (55, 64), (12, 69), (37, 68), (10, 47), (9, 49), (47, 66), (7, 27), (16, 42), (6, 31), (25, 48), (3, 17), (14, 23), (20, 33), (30, 68), (15, 46), (32, 53), (8, 16), (40, 42), (49, 57), (0, 15), (38, 60), (4, 52), (5, 41), (14, 56)}"
st70,Nearest-Neighbor,4,31.43,11.28,"{(6, 18), (16, 20), (1, 31), (55, 66), (44, 45), (11, 51), (27, 13), (53, 32), (48, 45), (38, 44), (46, 57), (48, 54), (21, 37), (39, 60), (40, 59), (67, 43), (6, 2), (52, 33), (66, 32), (41, 42), (52, 51), (45, 67), (39, 26), (2, 41), (25, 43), (17, 5), (11, 53), (28, 69), (66, 53), (51, 64), (40, 43), (22, 37), (57, 4), (22, 46), (59, 32), (49, 9), (18, 3), (1, 17), (61, 38), (35, 28), (36, 57), (16, 33), (10, 47), (22, 12), (56, 14), (47, 66), (56, 23), (65, 56), (25, 54), (3, 17), (46, 52), (57, 52), (20, 33), (38, 39), (37, 28), (16, 8), (44, 24), (4, 52), (21, 68), (62, 14), (2, 27), (63, 13), (20, 8), (48, 24), (36, 4), (62, 23), (46, 36), (51, 50), (37, 12), (6, 27), (65, 58), (49, 50), (63, 49), (58, 28), (35, 60), (15, 57), (1, 3), (61, 24), (58, 37), (24, 60), (44, 26), (11, 32), (8, 45), (47, 61), (29, 13), (34, 18), (11, 59), (41, 5), (61, 26), (26, 13), (2, 13), (35, 25), (53, 61), (54, 60), (17, 41), (6, 31), (57, 49), (14, 23), (40, 42), (50, 10), (43, 13), (19, 13), (46, 15), (23, 1), (24, 39), (15, 36), (67, 19), (12, 28), (32, 61), (26, 45), (44, 60), (27, 19), (58, 34), (69, 34), (1, 18), (65, 21), (31, 7), (29, 19), (54, 18), (31, 25), (7, 25), (55, 10), (14, 18), (62, 34), (54, 39), (8, 26), (36, 51), (14, 48), (40, 67), (63, 14), (43, 29), (38, 24), (63, 23), (12, 69), (35, 34), (37, 68), (7, 27), (60, 8), (42, 67), (65, 62), (31, 48), (68, 12), (3, 41), (34, 56), (21, 56), (31, 2), (65, 34), (68, 30), (20, 11), (44, 39), (50, 55), (58, 68), (50, 64), (24, 45), (8, 67), (35, 63), (30, 12), (1, 6), (27, 25), (31, 41), (33, 11), (39, 45), (46, 69), (63, 64), (5, 40), (39, 8), (21, 58), (4, 51), (40, 16), (23, 64), (33, 32), (59, 51), (64, 10), (23, 18), (33, 59), (9, 4), (30, 69), (10, 66), (42, 16), (2, 7), (48, 59), (62, 58), (5, 42), (35, 22), (59, 53), (55, 64), (22, 15), (52, 65), (25, 48), (33, 61), (5, 26), (38, 60), (63, 59), (35, 15), (21, 62)}"
st70,oneTree-Modified,4,45.71,25.2,"{(6, 18), (16, 20), (47, 53), (34, 68), (55, 66), (1, 31), (12, 68), (4, 9), (58, 62), (26, 39), (11, 51), (12, 28), (26, 45), (32, 61), (44, 60), (38, 44), (40, 41), (22, 35), (48, 54), (46, 57), (43, 67), (21, 37), (28, 30), (39, 60), (1, 18), (11, 20), (36, 49), (36, 46), (8, 42), (8, 39), (24, 44), (7, 25), (9, 59), (3, 6), (16, 40), (28, 69), (33, 53), (12, 30), (10, 63), (39, 44), (29, 43), (22, 37), (22, 46), (8, 26), (0, 22), (13, 19), (1, 17), (29, 67), (25, 27), (9, 52), (15, 22), (36, 57), (12, 69), (34, 69), (10, 47), (9, 49), (37, 68), (2, 43), (7, 27), (16, 42), (47, 66), (16, 33), (25, 54), (3, 17), (20, 33), (30, 68), (32, 53), (15, 46), (42, 67), (18, 54), (49, 57), (0, 15), (3, 41), (23, 56), (34, 56), (30, 37), (4, 52), (11, 33), (4, 49), (21, 65), (13, 27), (18, 23), (56, 62), (37, 58), (50, 55), (9, 51), (50, 64), (51, 59), (10, 55), (0, 63), (1, 6), (39, 45), (1, 3), (62, 65), (63, 64), (5, 40), (21, 58), (0, 35), (4, 51), (11, 32), (13, 29), (24, 38), (7, 31), (11, 59), (30, 69), (32, 66), (38, 61), (2, 7), (19, 29), (53, 61), (17, 41), (2, 31), (55, 64), (6, 31), (52, 65), (25, 48), (14, 23), (32, 59), (40, 42), (5, 17), (8, 16), (49, 51), (7, 48), (38, 60), (21, 62), (5, 41), (14, 56)}"
st70,Delanay-OneTree,1,37.14,37.14,"{(6, 18), (16, 20), (13, 27), (21, 65), (34, 68), (47, 53), (55, 66), (4, 9), (50, 55), (9, 51), (26, 39), (56, 62), (51, 59), (12, 28), (26, 45), (38, 44), (48, 54), (1, 6), (21, 37), (43, 67), (1, 3), (39, 60), (11, 20), (63, 64), (5, 40), (21, 58), (0, 35), (36, 46), (11, 32), (8, 39), (24, 44), (7, 25), (11, 59), (28, 69), (12, 30), (29, 43), (22, 37), (2, 7), (0, 22), (19, 29), (13, 19), (21, 62), (53, 61), (17, 41), (2, 31), (36, 57), (55, 64), (12, 69), (37, 68), (10, 47), (9, 49), (47, 66), (7, 27), (16, 42), (6, 31), (25, 48), (3, 17), (14, 23), (20, 33), (30, 68), (15, 46), (32, 53), (8, 16), (40, 42), (49, 57), (0, 15), (38, 60), (4, 52), (5, 41), (14, 56)}"
