instance,method,parameter,edges
eil76,opt,,"{(10, 37), (5, 50), (58, 65), (37, 64), (33, 45), (59, 70), (11, 39), (9, 57), (10, 52), (33, 51), (3, 74), (24, 54), (26, 51), (16, 50), (29, 47), (66, 75), (0, 72), (4, 36), (18, 53), (1, 67), (1, 73), (38, 71), (64, 65), (19, 36), (41, 42), (0, 32), (30, 54), (27, 61), (12, 56), (59, 69), (4, 14), (41, 63), (26, 44), (14, 56), (7, 34), (5, 67), (27, 73), (19, 69), (61, 72), (17, 23), (74, 75), (31, 43), (35, 68), (15, 62), (57, 71), (40, 55), (20, 46), (23, 48), (28, 44), (21, 60), (11, 25), (8, 38), (22, 55), (21, 63), (28, 47), (22, 48), (2, 43), (24, 49), (16, 39), (35, 46), (6, 34), (40, 42), (7, 45), (32, 62), (13, 58), (3, 29), (6, 52), (68, 70), (25, 66), (13, 18), (2, 15), (8, 31), (9, 30), (12, 53), (20, 60), (17, 49)}"
a280,delaunay,,"{(47, 53), (67, 68), (105, 171), (99, 100), (136, 149), (29, 32), (207, 209), (8, 9), (133, 269), (40, 41), (251, 252), (11, 14), (100, 101), (92, 97), (132, 133), (8, 274), (192, 193), (151, 155), (240, 242), (41, 42), (0, 279), (73, 74), (224, 234), (81, 87), (243, 247), (242, 279), (133, 134), (255, 258), (141, 147), (14, 15), (225, 226), (19, 130), (194, 220), (74, 75), (217, 222), (106, 107), (14, 271), (166, 167), (174, 180), (15, 16), (47, 48), (226, 227), (214, 225), (258, 259), (107, 108), (247, 277), (258, 277), (199, 200), (48, 49), (239, 245), (120, 154), (218, 222), (80, 81), (77, 94), (259, 260), (40, 45), (140, 141), (161, 182), (261, 269), (192, 197), (232, 233), (81, 82), (136, 265), (173, 174), (22, 23), (162, 183), (202, 219), (205, 252), (233, 234), (51, 68), (265, 266), (43, 55), (114, 115), (166, 171), (206, 207), (55, 56), (266, 267), (158, 176), (47, 52), (147, 148), (88, 108), (228, 231), (207, 208), (128, 153), (209, 227), (239, 240), (210, 213), (150, 177), (205, 211), (91, 100), (240, 241), (110, 113), (62, 64), (224, 233), (243, 246), (73, 82), (181, 182), (2, 278), (194, 201), (139, 265), (273, 274), (43, 59), (33, 122), (66, 70), (14, 270), (25, 127), (87, 111), (214, 215), (247, 249), (206, 211), (116, 156), (96, 98), (250, 254), (58, 62), (239, 244), (40, 44), (113, 114), (26, 127), (205, 206), (253, 255), (54, 55), (102, 104), (146, 147), (32, 36), (162, 173), (87, 88), (106, 110), (179, 180), (204, 264), (28, 29), (76, 78), (88, 89), (47, 51), (120, 121), (105, 169), (180, 181), (29, 30), (61, 62), (272, 273), (260, 271), (121, 122), (169, 171), (153, 154), (135, 267), (2, 3), (150, 176), (213, 214), (83, 86), (62, 63), (110, 112), (94, 95), (29, 124), (10, 272), (54, 68), (3, 4), (139, 264), (35, 36), (60, 120), (246, 247), (141, 203), (95, 96), (43, 58), (127, 128), (187, 188), (164, 186), (195, 201), (36, 37), (227, 233), (68, 69), (208, 229), (128, 129), (160, 161), (257, 261), (58, 61), (220, 221), (79, 93), (69, 70), (90, 102), (101, 102), (161, 162), (39, 47), (10, 11), (234, 241), (253, 254), (102, 103), (253, 263), (231, 235), (32, 35), (194, 195), (123, 153), (43, 44), (64, 85), (135, 136), (5, 8), (216, 219), (49, 51), (227, 228), (235, 241), (76, 77), (109, 111), (138, 147), (168, 169), (130, 152), (208, 251), (79, 88), (160, 174), (260, 261), (142, 144), (150, 157), (17, 131), (261, 262), (91, 98), (75, 81), (131, 134), (175, 177), (16, 22), (56, 67), (16, 269), (116, 118), (144, 198), (245, 250), (9, 10), (248, 255), (227, 232), (149, 151), (197, 200), (209, 211), (42, 43), (79, 92), (90, 92), (149, 178), (268, 269), (99, 168), (134, 135), (260, 274), (28, 126), (119, 155), (263, 267), (39, 46), (75, 76), (123, 125), (183, 185), (215, 217), (16, 17), (45, 53), (108, 109), (64, 84), (237, 241), (49, 50), (57, 63), (109, 110), (178, 182), (27, 31), (126, 153), (149, 155), (248, 277), (259, 274), (201, 202), (50, 51), (98, 100), (82, 83), (71, 83), (142, 143), (190, 192), (163, 184), (234, 235), (104, 107), (83, 84), (131, 133), (115, 116), (34, 39), (4, 276), (175, 176), (204, 212), (93, 97), (56, 57), (223, 234), (267, 268), (185, 189), (116, 117), (1, 279), (137, 149), (114, 156), (237, 245), (208, 209), (78, 81), (143, 201), (167, 168), (57, 58), (248, 254), (89, 90), (229, 250), (159, 173), (86, 112), (5, 276), (89, 108), (20, 127), (30, 31), (16, 133), (210, 227), (241, 242), (63, 65), (90, 91), (200, 201), (82, 87), (99, 167), (182, 183), (28, 125), (4, 6), (151, 177), (31, 32), (182, 192), (263, 266), (141, 142), (203, 215), (112, 115), (274, 275), (123, 124), (140, 204), (215, 216), (64, 65), (37, 48), (102, 168), (156, 157), (85, 115), (5, 6), (248, 249), (256, 262), (229, 245), (97, 98), (78, 94), (133, 268), (0, 4), (89, 103), (189, 190), (238, 241), (148, 149), (230, 237), (262, 269), (8, 273), (129, 154), (163, 165), (137, 265), (12, 14), (61, 117), (222, 223), (255, 257), (141, 146), (44, 55), (104, 106), (52, 68), (152, 155), (42, 122), (19, 129), (1, 242), (34, 38), (122, 123), (204, 211), (93, 96), (144, 178), (185, 188), (137, 148), (229, 231), (78, 80), (218, 221), (19, 21), (16, 132), (259, 277), (191, 222), (63, 64), (192, 196), (121, 154), (4, 5), (33, 41), (165, 187), (217, 225), (37, 38), (37, 47), (193, 196), (185, 192), (158, 175), (18, 24), (70, 71), (130, 131), (210, 212), (11, 12), (19, 25), (262, 268), (129, 153), (163, 164), (61, 116), (44, 45), (255, 256), (42, 121), (152, 154), (1, 241), (34, 37), (225, 233), (196, 197), (244, 246), (66, 69), (146, 178), (205, 264), (3, 278), (247, 248), (137, 138), (96, 97), (15, 23), (18, 19), (55, 68), (229, 230), (15, 270), (188, 189), (143, 199), (126, 128), (139, 147), (191, 194), (120, 152), (129, 130), (251, 254), (80, 88), (262, 263), (191, 221), (221, 222), (111, 112), (240, 244), (121, 153), (41, 44), (203, 204), (18, 131), (33, 40), (213, 227), (162, 163), (113, 158), (62, 85), (162, 172), (142, 203), (27, 127), (254, 255), (144, 145), (103, 104), (217, 224), (236, 237), (106, 109), (85, 86), (195, 196), (166, 169), (177, 178), (136, 137), (258, 261), (269, 270), (118, 119), (228, 229), (77, 78), (21, 25), (0, 2), (48, 51), (210, 211), (184, 186), (110, 111), (261, 271), (232, 235), (33, 35), (10, 271), (243, 244), (61, 115), (202, 203), (136, 267), (51, 52), (42, 120), (60, 119), (84, 86), (43, 57), (217, 219), (103, 108), (143, 144), (66, 68), (106, 113), (135, 149), (3, 277), (235, 236), (195, 200), (140, 264), (206, 209), (7, 9), (55, 67), (105, 172), (15, 269), (58, 60), (29, 33), (191, 193), (209, 229), (140, 147), (91, 102), (253, 262), (213, 226), (25, 26), (73, 75), (162, 171), (142, 202), (202, 216), (246, 250), (217, 223), (33, 124), (17, 18), (198, 200), (36, 49), (258, 260), (6, 8), (208, 250), (160, 173), (21, 24), (160, 182), (201, 220), (150, 156), (91, 97), (161, 183), (261, 270), (136, 266), (60, 118), (84, 85), (165, 171), (72, 83), (43, 56), (217, 218), (103, 107), (176, 177), (17, 22), (179, 182), (65, 71), (87, 108), (227, 231), (28, 31), (57, 67), (117, 118), (250, 251), (209, 210), (58, 59), (149, 177), (191, 192), (209, 228), (239, 241), (150, 151), (260, 273), (242, 243), (91, 92), (91, 101), (224, 225), (100, 168), (213, 225), (183, 184), (175, 180), (32, 33), (2, 279), (165, 166), (275, 276), (202, 215), (124, 125), (246, 249), (95, 98), (33, 123), (216, 217), (264, 266), (46, 53), (65, 66), (135, 152), (276, 277), (57, 62), (198, 199), (157, 158), (65, 84), (6, 7), (157, 176), (249, 250), (139, 140), (98, 99), (160, 181), (201, 219), (50, 68), (190, 191), (39, 40), (31, 36), (242, 247), (172, 173), (161, 173), (205, 207), (2, 247), (131, 132), (253, 256), (212, 215), (13, 15), (223, 224), (231, 237), (146, 148), (72, 73), (60, 117), (72, 82), (164, 165), (41, 122), (104, 169), (256, 257), (134, 268), (179, 181), (65, 70), (28, 30), (86, 111), (5, 275), (197, 198), (9, 273), (238, 245), (130, 154), (257, 258), (249, 254), (79, 90), (82, 86), (260, 272), (42, 59), (142, 146), (135, 268), (112, 114), (2, 4), (2, 242), (29, 125), (231, 232), (175, 179), (183, 192), (35, 37), (141, 204), (127, 129), (38, 39), (264, 265), (164, 187), (78, 93), (106, 173), (86, 115), (178, 198), (71, 72), (118, 156), (257, 262), (230, 245), (207, 252), (90, 103), (12, 13), (104, 105), (75, 78), (138, 265), (212, 214), (13, 14), (45, 46), (93, 95), (13, 23), (231, 236), (45, 55), (53, 68), (105, 106), (20, 129), (108, 111), (46, 47), (78, 79), (145, 178), (138, 139), (186, 188), (130, 135), (138, 148), (19, 20), (159, 180), (9, 272), (230, 231), (118, 151), (79, 80), (259, 276), (79, 89), (59, 120), (171, 172), (219, 221), (142, 145), (52, 53), (119, 152), (17, 132), (263, 264), (163, 186), (112, 113), (75, 82), (204, 205), (53, 54), (175, 178), (252, 263), (16, 23), (145, 146), (193, 195), (122, 153), (26, 27), (237, 238), (114, 158), (86, 87), (38, 47), (178, 179), (106, 172), (159, 175), (27, 28), (149, 152), (238, 239), (19, 24), (270, 271), (118, 155), (119, 120), (63, 67), (262, 267), (207, 251), (211, 212), (60, 61), (20, 25), (28, 127), (271, 272), (212, 213), (244, 245), (205, 263), (236, 241), (93, 94), (45, 54), (185, 186), (226, 233), (245, 246), (277, 278), (37, 49), (143, 198), (126, 127), (106, 158), (186, 187), (130, 134), (0, 6), (218, 219), (251, 253), (178, 192), (259, 275), (191, 220), (8, 275), (151, 156), (11, 271), (240, 243), (71, 84), (219, 220), (41, 43), (33, 39), (148, 178), (81, 88), (203, 212), (19, 131), (255, 277), (74, 76), (252, 253), (196, 200), (174, 181), (214, 217), (193, 194), (185, 190), (158, 173), (59, 60), (18, 22), (107, 109), (114, 157), (247, 278), (167, 169), (143, 202), (199, 201), (0, 1), (159, 174), (40, 46), (77, 95), (92, 93), (30, 32), (63, 66), (184, 185), (192, 198), (33, 34), (163, 171), (125, 126), (101, 168), (22, 24), (162, 184), (233, 235), (34, 35), (66, 67), (125, 153), (114, 116), (62, 115), (3, 276), (158, 159), (102, 169), (7, 8)}"
st70,delaunay,,"{(6, 18), (16, 20), (47, 53), (55, 66), (44, 45), (4, 9), (26, 39), (11, 51), (38, 44), (40, 41), (46, 57), (48, 54), (22, 35), (21, 37), (43, 67), (3, 31), (39, 60), (21, 46), (36, 46), (55, 59), (4, 57), (8, 39), (34, 58), (19, 48), (36, 64), (24, 44), (2, 41), (16, 40), (3, 6), (28, 69), (10, 63), (22, 28), (39, 44), (29, 43), (40, 43), (22, 37), (11, 16), (22, 46), (13, 19), (25, 27), (42, 43), (36, 57), (34, 69), (10, 47), (9, 49), (47, 66), (2, 43), (16, 42), (25, 54), (3, 17), (20, 33), (46, 52), (30, 68), (32, 53), (29, 45), (15, 46), (49, 57), (23, 56), (4, 52), (36, 50), (53, 66), (2, 27), (56, 62), (18, 23), (37, 58), (9, 51), (3, 65), (51, 59), (12, 22), (32, 55), (49, 50), (1, 3), (35, 69), (19, 27), (50, 51), (11, 32), (19, 45), (47, 61), (19, 54), (51, 52), (11, 59), (32, 66), (46, 65), (38, 61), (8, 20), (2, 13), (19, 29), (53, 61), (1, 23), (17, 41), (2, 31), (47, 63), (36, 63), (3, 5), (6, 31), (5, 11), (40, 42), (14, 23), (32, 59), (37, 46), (5, 41), (34, 68), (58, 62), (15, 36), (26, 45), (12, 28), (32, 61), (33, 60), (44, 60), (12, 37), (15, 63), (1, 18), (11, 20), (8, 33), (36, 49), (8, 42), (5, 52), (26, 29), (60, 61), (18, 25), (7, 25), (14, 18), (12, 30), (8, 26), (0, 22), (34, 54), (29, 67), (11, 40), (15, 22), (12, 69), (37, 68), (7, 27), (13, 43), (42, 67), (24, 61), (18, 54), (0, 15), (17, 31), (34, 56), (3, 56), (30, 37), (11, 33), (56, 65), (21, 65), (4, 49), (13, 27), (41, 43), (50, 55), (58, 68), (24, 45), (50, 64), (10, 55), (8, 67), (10, 64), (35, 63), (39, 45), (0, 63), (1, 6), (31, 41), (14, 34), (68, 69), (62, 65), (63, 64), (5, 40), (56, 58), (21, 58), (3, 52), (0, 35), (4, 51), (32, 33), (13, 29), (24, 38), (7, 31), (8, 60), (30, 69), (10, 66), (2, 7), (28, 35), (6, 7), (14, 54), (5, 51), (27, 48), (55, 64), (6, 25), (50, 59), (52, 65), (25, 48), (33, 61), (1, 56), (5, 17), (8, 16), (49, 51), (38, 60), (26, 67), (4, 46), (21, 62), (14, 56)}"
pr76,delaunay,,"{(55, 57), (72, 73), (64, 69), (67, 68), (43, 46), (44, 45), (4, 9), (41, 58), (18, 35), (20, 29), (8, 9), (40, 41), (34, 37), (66, 69), (11, 14), (40, 59), (24, 26), (41, 42), (7, 74), (73, 74), (33, 38), (18, 19), (50, 54), (61, 63), (24, 44), (14, 15), (8, 11), (9, 10), (74, 75), (9, 19), (46, 68), (23, 45), (38, 73), (15, 16), (47, 48), (7, 12), (42, 43), (35, 37), (45, 69), (18, 30), (42, 52), (20, 24), (38, 39), (48, 49), (57, 61), (49, 66), (1, 74), (15, 73), (53, 57), (71, 72), (16, 17), (64, 66), (30, 34), (25, 29), (56, 62), (12, 13), (22, 23), (3, 19), (48, 51), (49, 50), (1, 3), (10, 15), (27, 31), (13, 14), (45, 46), (1, 21), (55, 56), (47, 52), (50, 51), (63, 70), (55, 65), (56, 64), (51, 52), (29, 31), (46, 47), (39, 41), (23, 24), (3, 21), (61, 72), (40, 58), (19, 20), (19, 29), (62, 64), (24, 25), (27, 42), (7, 73), (56, 57), (64, 70), (63, 72), (45, 75), (58, 60), (20, 21), (32, 41), (3, 5), (41, 53), (52, 53), (51, 54), (50, 65), (26, 43), (57, 58), (23, 44), (1, 7), (2, 6), (13, 73), (53, 54), (30, 31), (7, 11), (25, 26), (45, 68), (32, 34), (26, 27), (22, 75), (20, 23), (37, 73), (21, 22), (43, 52), (31, 32), (17, 18), (27, 28), (0, 75), (17, 36), (54, 55), (47, 49), (64, 65), (25, 28), (56, 61), (6, 8), (60, 61), (4, 8), (14, 73), (38, 40), (5, 6), (1, 2), (28, 29), (53, 58), (0, 22), (54, 57), (30, 35), (67, 69), (29, 30), (43, 47), (44, 46), (61, 62), (12, 14), (69, 75), (60, 72), (4, 19), (2, 3), (34, 38), (10, 16), (27, 32), (11, 15), (46, 67), (22, 45), (28, 31), (62, 63), (40, 60), (9, 18), (38, 72), (63, 71), (58, 59), (3, 4), (33, 39), (35, 36), (50, 55), (41, 52), (18, 29), (26, 42), (1, 6), (9, 11), (2, 5), (57, 60), (36, 37), (10, 18), (68, 69), (49, 65), (63, 64), (15, 17), (32, 33), (7, 13), (24, 29), (32, 42), (59, 60), (33, 41), (4, 5), (69, 70), (52, 54), (47, 67), (26, 44), (0, 1), (31, 34), (10, 11), (65, 66), (0, 74), (37, 38), (17, 35), (49, 67), (6, 7), (16, 18), (33, 34), (26, 28), (43, 44), (55, 64), (21, 23), (15, 37), (70, 71), (5, 8), (39, 40), (3, 20), (34, 35), (48, 52), (49, 51), (66, 67), (11, 12), (38, 60), (0, 21), (17, 37), (7, 8)}"
att48,delaunay,,"{(15, 21), (24, 33), (13, 33), (19, 46), (18, 26), (1, 40), (25, 41), (2, 39), (20, 38), (31, 38), (11, 14), (31, 47), (8, 39), (25, 34), (16, 31), (7, 37), (20, 31), (0, 7), (21, 39), (4, 41), (27, 36), (19, 32), (33, 40), (7, 30), (11, 46), (16, 42), (20, 24), (12, 20), (6, 43), (20, 42), (31, 42), (22, 39), (23, 47), (27, 29), (10, 22), (1, 28), (30, 43), (16, 26), (0, 39), (11, 39), (12, 13), (6, 27), (12, 22), (6, 36), (23, 31), (31, 44), (1, 3), (30, 36), (11, 32), (30, 45), (8, 45), (9, 44), (12, 24), (5, 18), (19, 20), (4, 47), (19, 29), (2, 13), (28, 41), (2, 22), (2, 40), (29, 42), (14, 32), (23, 44), (27, 35), (2, 15), (1, 25), (17, 43), (2, 33), (29, 35), (38, 47), (3, 25), (16, 44), (4, 24), (4, 33), (10, 12), (9, 23), (17, 45), (19, 42), (10, 39), (9, 41), (6, 17), (26, 29), (43, 45), (32, 45), (6, 35), (20, 46), (5, 27), (9, 25), (14, 39), (5, 36), (19, 35), (9, 34), (1, 41), (15, 40), (18, 36), (4, 28), (0, 15), (5, 29), (28, 40), (2, 21), (30, 37), (8, 37), (6, 30), (10, 46), (35, 45), (26, 42), (0, 8), (3, 34), (28, 33), (12, 46), (37, 45), (24, 38), (24, 47), (8, 14), (10, 11), (11, 19), (17, 35), (14, 45), (13, 22), (32, 35), (16, 18), (7, 15), (41, 47), (5, 26), (34, 44), (23, 41), (0, 21), (7, 8), (13, 24)}"
berlin52,delaunay,,"{(16, 20), (33, 36), (20, 29), (8, 9), (18, 44), (12, 25), (39, 42), (38, 44), (31, 38), (17, 21), (29, 41), (17, 30), (10, 27), (33, 38), (42, 50), (16, 40), (20, 22), (39, 44), (6, 41), (3, 24), (4, 23), (3, 42), (14, 42), (8, 32), (15, 25), (17, 44), (25, 27), (25, 45), (38, 39), (5, 14), (22, 30), (15, 46), (38, 48), (5, 23), (23, 47), (16, 17), (1, 28), (28, 46), (9, 42), (1, 46), (0, 48), (12, 13), (13, 51), (31, 44), (7, 44), (14, 37), (36, 43), (33, 35), (10, 51), (11, 50), (19, 29), (7, 9), (36, 45), (10, 26), (24, 25), (34, 48), (0, 34), (0, 43), (2, 40), (3, 5), (32, 50), (20, 30), (3, 14), (13, 46), (15, 43), (12, 26), (19, 22), (36, 38), (36, 47), (11, 27), (25, 26), (8, 40), (19, 49), (26, 27), (21, 22), (21, 31), (15, 45), (35, 48), (23, 37), (10, 12), (34, 43), (37, 39), (2, 17), (9, 32), (43, 45), (17, 20), (28, 29), (14, 39), (0, 22), (10, 32), (12, 51), (0, 31), (7, 18), (3, 11), (1, 41), (15, 49), (1, 13), (17, 31), (19, 28), (31, 48), (45, 47), (11, 24), (3, 50), (28, 49), (5, 47), (24, 27), (43, 49), (24, 45), (16, 41), (22, 29), (1, 6), (20, 41), (36, 37), (12, 46), (32, 42), (42, 44), (4, 5), (35, 38), (4, 14), (21, 30), (24, 47), (25, 46), (2, 44), (18, 40), (7, 40), (10, 11), (5, 24), (36, 39), (0, 19), (2, 16), (37, 47), (6, 16), (33, 34), (1, 29), (15, 28), (33, 43), (10, 50), (0, 49), (7, 42), (8, 16), (34, 35), (0, 21), (2, 18), (4, 37), (7, 8)}"
ulysses22,delaunay,,"{(6, 18), (7, 17), (18, 20), (12, 13), (3, 16), (0, 2), (8, 9), (17, 21), (1, 3), (9, 20), (13, 14), (11, 20), (6, 11), (6, 8), (6, 14), (7, 13), (15, 20), (18, 19), (4, 5), (5, 6), (4, 8), (4, 14), (12, 15), (4, 17), (3, 21), (0, 7), (1, 2), (11, 13), (11, 19), (2, 16), (19, 20), (1, 17), (6, 13), (16, 21), (7, 12), (7, 15), (7, 21), (6, 19), (4, 10), (5, 8), (14, 17), (5, 14), (3, 17), (8, 10), (9, 15), (11, 12), (2, 9), (9, 18), (11, 15), (0, 15), (0, 21), (1, 16), (2, 15), (2, 21), (6, 9), (7, 14)}"
eil76,delaunay,,"{(58, 65), (33, 45), (2, 39), (10, 52), (2, 48), (30, 64), (5, 74), (40, 41), (20, 47), (23, 43), (6, 57), (38, 71), (6, 66), (36, 46), (41, 42), (8, 39), (15, 32), (27, 61), (47, 73), (5, 67), (2, 50), (0, 62), (17, 23), (74, 75), (11, 71), (3, 33), (31, 49), (11, 16), (15, 62), (18, 58), (1, 72), (23, 54), (7, 12), (59, 68), (2, 43), (38, 39), (6, 34), (14, 26), (32, 62), (13, 58), (21, 41), (6, 52), (68, 70), (5, 32), (7, 51), (40, 63), (3, 44), (12, 56), (25, 75), (24, 30), (55, 63), (11, 39), (59, 70), (44, 51), (10, 58), (3, 74), (11, 57), (14, 19), (20, 35), (5, 16), (15, 48), (29, 47), (6, 45), (14, 28), (66, 75), (18, 53), (7, 53), (4, 36), (23, 49), (1, 67), (21, 61), (19, 36), (0, 32), (22, 62), (30, 54), (36, 70), (3, 67), (46, 47), (21, 27), (9, 71), (61, 72), (15, 50), (1, 5), (4, 47), (11, 25), (30, 38), (22, 55), (9, 37), (8, 38), (1, 32), (45, 66), (3, 51), (19, 56), (58, 69), (32, 50), (9, 64), (35, 46), (0, 61), (40, 42), (12, 26), (5, 75), (31, 39), (10, 65), (13, 18), (2, 15), (22, 48), (8, 31), (9, 30), (20, 60), (10, 37), (5, 50), (8, 49), (37, 64), (9, 57), (67, 74), (60, 68), (33, 51), (29, 44), (8, 24), (1, 73), (53, 56), (34, 52), (64, 65), (37, 57), (17, 54), (11, 38), (52, 57), (7, 34), (18, 34), (21, 42), (32, 72), (35, 68), (20, 46), (48, 62), (28, 29), (53, 58), (12, 51), (29, 67), (28, 47), (21, 63), (20, 73), (7, 18), (13, 34), (12, 14), (3, 66), (60, 63), (27, 60), (3, 75), (16, 39), (13, 52), (30, 65), (7, 45), (4, 28), (39, 43), (48, 55), (35, 70), (16, 75), (12, 53), (37, 52), (17, 49), (0, 42), (35, 36), (43, 49), (19, 58), (24, 54), (26, 51), (16, 50), (10, 64), (1, 61), (33, 66), (17, 24), (0, 72), (8, 30), (2, 23), (23, 55), (9, 38), (20, 68), (1, 27), (16, 25), (69, 70), (59, 69), (4, 14), (41, 63), (26, 44), (42, 62), (27, 73), (19, 69), (31, 43), (22, 40), (40, 55), (14, 36), (57, 71), (45, 51), (23, 48), (2, 16), (28, 44), (6, 7), (21, 60), (29, 73), (1, 29), (26, 28), (6, 25), (19, 53), (36, 69), (24, 49), (20, 27), (25, 57), (10, 13), (25, 66), (3, 29), (22, 42), (0, 21), (63, 68), (4, 46), (14, 56)}"
eil51,delaunay,,"{(1, 31), (24, 42), (3, 40), (13, 17), (1, 15), (4, 48), (32, 39), (33, 38), (8, 48), (10, 45), (46, 50), (39, 44), (0, 7), (11, 16), (20, 49), (41, 44), (7, 21), (2, 34), (7, 30), (33, 49), (11, 46), (3, 17), (20, 33), (5, 23), (1, 10), (14, 44), (1, 19), (19, 34), (10, 31), (1, 28), (2, 27), (17, 46), (25, 47), (22, 23), (29, 38), (20, 35), (9, 14), (12, 40), (4, 36), (10, 15), (4, 45), (36, 43), (1, 21), (13, 23), (5, 46), (11, 50), (3, 12), (20, 28), (4, 11), (39, 41), (23, 24), (12, 24), (21, 27), (26, 50), (6, 47), (23, 42), (12, 42), (8, 29), (25, 42), (6, 22), (12, 17), (29, 33), (18, 39), (14, 32), (27, 35), (28, 34), (45, 50), (10, 37), (11, 36), (5, 50), (8, 49), (9, 48), (11, 45), (3, 16), (5, 13), (26, 45), (6, 42), (18, 41), (8, 15), (8, 33), (9, 32), (37, 48), (3, 46), (2, 35), (15, 20), (0, 47), (7, 25), (3, 18), (26, 47), (16, 46), (27, 30), (2, 19), (30, 35), (0, 31), (14, 48), (32, 38), (26, 31), (4, 10), (15, 49), (19, 28), (3, 41), (2, 21), (8, 37), (5, 47), (41, 43), (16, 41), (7, 47), (17, 24), (19, 21), (5, 22), (22, 47), (9, 29), (0, 26), (14, 43), (9, 38), (4, 14), (21, 30), (16, 43), (18, 40), (0, 1), (20, 34), (12, 39), (14, 36), (15, 28), (6, 25), (32, 44), (25, 30), (43, 44), (15, 37), (16, 36), (39, 40), (5, 17), (34, 35), (29, 48), (5, 26), (22, 42), (31, 45), (0, 21), (4, 37), (13, 24)}"
ulysses16,delaunay,,"{(3, 4), (3, 7), (12, 13), (0, 2), (8, 9), (9, 11), (1, 3), (13, 14), (6, 11), (6, 8), (6, 14), (7, 13), (4, 5), (5, 6), (4, 8), (4, 14), (12, 15), (0, 7), (1, 2), (11, 13), (6, 13), (7, 12), (7, 15), (4, 10), (3, 14), (5, 8), (5, 14), (0, 3), (8, 10), (9, 15), (2, 3), (2, 9), (11, 12), (11, 15), (0, 15), (2, 15), (6, 9), (7, 14)}"
eil101,delaunay,,"{(72, 73), (1, 86), (6, 18), (15, 85), (7, 81), (44, 45), (13, 42), (1, 40), (88, 100), (90, 97), (27, 68), (28, 67), (42, 66), (59, 82), (46, 48), (10, 61), (14, 22), (65, 70), (0, 69), (29, 50), (60, 83), (48, 63), (15, 60), (37, 42), (14, 40), (60, 92), (58, 95), (12, 52), (43, 85), (31, 65), (92, 97), (41, 42), (21, 73), (73, 74), (27, 52), (17, 51), (2, 32), (13, 99), (90, 99), (22, 74), (11, 53), (25, 52), (45, 85), (10, 63), (5, 12), (28, 78), (3, 24), (38, 55), (12, 100), (14, 42), (32, 78), (33, 77), (1, 72), (23, 54), (94, 96), (15, 16), (58, 97), (27, 100), (41, 99), (4, 59), (25, 27), (13, 37), (19, 50), (8, 50), (30, 68), (12, 93), (75, 76), (38, 66), (32, 80), (4, 98), (6, 61), (49, 75), (36, 41), (71, 72), (8, 34), (81, 82), (20, 72), (77, 78), (19, 70), (12, 86), (9, 69), (49, 50), (17, 82), (51, 68), (7, 44), (11, 75), (37, 85), (40, 56), (58, 92), (97, 99), (1, 12), (45, 46), (93, 95), (1, 21), (71, 74), (27, 49), (16, 83), (34, 64), (82, 83), (1, 39), (62, 89), (0, 50), (29, 31), (46, 47), (23, 79), (9, 62), (23, 24), (67, 79), (77, 80), (0, 68), (23, 33), (6, 47), (18, 46), (36, 99), (58, 94), (36, 91), (26, 68), (44, 83), (19, 29), (41, 96), (11, 25), (22, 55), (64, 70), (16, 85), (7, 82), (53, 79), (17, 59), (2, 49), (32, 50), (35, 46), (15, 43), (50, 80), (84, 97), (60, 84), (18, 48), (4, 95), (8, 77), (16, 60), (59, 95), (53, 54), (19, 31), (9, 30), (63, 65), (11, 27), (0, 27), (3, 53), (22, 66), (5, 59), (26, 27), (3, 71), (21, 22), (84, 90), (26, 100), (35, 48), (23, 28), (3, 25), (16, 44), (86, 96), (21, 40), (6, 51), (8, 70), (59, 88), (24, 66), (58, 98), (39, 57), (8, 33), (9, 87), (64, 65), (0, 29), (31, 62), (3, 55), (20, 71), (34, 70), (30, 51), (6, 17), (6, 81), (20, 25), (13, 41), (67, 76), (52, 57), (55, 74), (31, 89), (84, 92), (12, 94), (1, 57), (58, 91), (61, 87), (18, 61), (36, 97), (91, 97), (93, 94), (51, 88), (9, 89), (5, 100), (71, 73), (2, 28), (21, 72), (9, 61), (13, 43), (61, 62), (4, 83), (19, 65), (10, 62), (33, 64), (7, 45), (28, 77), (59, 83), (20, 39), (8, 19), (39, 52), (4, 92), (47, 81), (2, 67), (45, 47), (62, 63), (11, 79), (14, 41), (94, 95), (2, 76), (44, 82), (23, 53), (29, 69), (37, 43), (5, 93), (92, 98), (21, 74), (26, 88), (32, 49), (35, 45), (78, 80), (24, 54), (26, 51), (25, 53), (56, 86), (33, 66), (7, 47), (18, 47), (28, 79), (22, 38), (10, 18), (17, 88), (28, 33), (68, 69), (9, 29), (63, 64), (2, 78), (5, 95), (39, 72), (52, 100), (4, 60), (15, 90), (24, 38), (55, 71), (29, 89), (6, 87), (10, 48), (95, 98), (30, 69), (17, 81), (22, 40), (91, 94), (5, 88), (30, 87), (49, 76), (12, 57), (3, 54), (43, 90), (23, 66), (33, 34), (43, 99), (67, 75), (41, 56), (25, 39), (0, 49), (16, 45), (27, 75), (1, 56), (3, 20), (11, 67), (8, 80), (36, 96), (22, 42), (12, 96), (91, 96), (3, 38), (60, 90), (51, 87), (41, 86), (31, 63), (14, 56)}"
